,,mcc,mcc,auroc,auroc,f1,f1,balanced_accuracy,balanced_accuracy,average_precision,average_precision,brier,brier,validation_mcc,validation_mcc,weighted_to_bce_grad_ratio,weighted_to_bce_grad_ratio,physics_loss_raw,physics_loss_raw
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,lambda_el,,,,,,,,,,,,,,,,,,
SGCC,10.0,0.17622531196300578,0.02754411109940532,0.668004925399454,0.010533960846462525,0.21561973236281307,0.055524510161034005,0.5707892382383932,0.025552772755441183,0.2038835639078588,0.011656510691701186,0.22129569202661514,0.008330914982070899,0.2036293233759315,0.017705522662862194,0.08582251144621804,0.061025892901250545,0.00022917426540516316,5.0252342989239664e-05
SGCC,100.0,0.17696319607407332,0.026140583791957356,0.6612821371491722,0.008867306283750494,0.20818041653266023,0.050528642334511785,0.5652924111484403,0.022602467541293195,0.2014852005676233,0.011685666387027562,0.22099219262599945,0.004916459452367803,0.20218966808933372,0.016256200975974983,0.2906529834520404,0.25501393410407186,5.7147386905853635e-05,6.905110520314364e-06
UCI,0.0,0.14515646250013403,0.1123151829106196,0.5914382320975727,0.01864743128384584,0.44098282419068974,0.14386193496001906,0.5620879120879121,0.04433974774115765,0.6149705494228754,0.052273505542555665,0.2503402575850487,0.006678652246454608,0.2698743152216899,0.0762811201689103,0.0,0.0,0.0047558765858411785,0.001453294883363278
UCI,1e-06,0.14515646250013403,0.1123151829106196,0.5914382320975727,0.01864743128384584,0.44098282419068974,0.14386193496001906,0.5620879120879121,0.04433974774115765,0.6149705494228754,0.052273505542555665,0.2503402575850487,0.006678652246454608,0.2698743152216899,0.0762811201689103,2.782800253780855e-08,1.1901273560628443e-08,0.003202542255166918,0.0010723520179360079
UCI,1e-05,0.14515646250013403,0.1123151829106196,0.5914382320975727,0.01864743128384584,0.44098282419068974,0.14386193496001906,0.5620879120879121,0.04433974774115765,0.6149384178117965,0.05230716509252514,0.2503402575850487,0.006678652246454608,0.2698743152216899,0.0762811201689103,2.3028302782921338e-07,8.576440753252926e-08,0.0014895386775606312,0.000998281696497597
UCI,0.0001,0.14515646250013403,0.1123151829106196,0.5914382320975727,0.01864743128384584,0.44098282419068974,0.14386193496001906,0.5620879120879121,0.04433974774115765,0.6149384178117965,0.05230716509252514,0.25034025609493255,0.006678635420776717,0.2698743152216899,0.0762811201689103,2.2077054977916514e-06,8.247826409198893e-07,0.0008685149419761729,0.0008122373216509775
UCI,0.001,0.14515646250013403,0.1123151829106196,0.5914382320975727,0.01864743128384584,0.44098282419068974,0.14386193496001906,0.5620879120879121,0.04433974774115765,0.6149705494228754,0.052273505542555665,0.2503402724862099,0.006678626290114005,0.2698743152216899,0.0762811201689103,2.194857214299672e-05,8.207664311408696e-06,0.0007767103474179748,0.000767518239237767
UCI,0.01,0.1366161788089469,0.11215388063198319,0.5915831421325927,0.018606408543290088,0.4411929082243032,0.1439750917600256,0.5582417582417583,0.04351117985464945,0.6151762611793385,0.05252541696396408,0.2502974346280098,0.0066979721146857634,0.2698743152216899,0.0762811201689103,0.0002201308189851389,8.225470818598475e-05,0.0007427016105793882,0.0007478539977990322
UCI,0.1,0.14752177200974942,0.11196306693556124,0.592742422412752,0.019593661952152095,0.42992614329311907,0.13007183071812378,0.5642857142857143,0.04388348712493074,0.6175449021464509,0.054571394427991866,0.24849385619163514,0.005681370430617823,0.27355132390520354,0.07540949354764147,0.0022499638780573246,0.0007979633636108397,0.0007026204417343252,0.0007694627820101757
UCI,1.0,0.1275832263780839,0.11895413613502165,0.5909068953024997,0.019510941748775983,0.43478157130459805,0.14081277337739753,0.5538461538461539,0.04682344668505435,0.6171156751324158,0.04928120709333712,0.2482863500714302,0.0033824142923432918,0.26602781328539205,0.07141994941749091,0.021564518227141616,0.007679693421035981,0.000888017333636526,0.0007458707632627923
UCI,10.0,0.14552373962706427,0.09200869747992524,0.5875981161695447,0.019347522309017828,0.4211336198491371,0.16312027714540386,0.5587912087912088,0.03954093264825889,0.6122779250759832,0.046079867818481876,0.24966589659452437,0.004039547463930965,0.25911784739150573,0.06932021147184454,0.22161482556218934,0.07817322440522624,0.0011113438224128914,0.0011789925686923786
UCI,100.0,0.13463872108912814,0.08537465955569112,0.5867769593044319,0.017239728949592966,0.4341894211402596,0.14807970934597017,0.5576923076923077,0.038177039534204836,0.6089023776683391,0.04680595674748235,0.2495855450630188,0.0007114579999991757,0.24139177095017766,0.049491341829036986,1.7911580397770972,0.8226828908733501,0.0016414846752013546,0.0014689751166077705
