dataset,metric,lambda_el,paired_mean_difference,ci95_low,ci95_high,wilcoxon_two_sided_p,n_seeds,holm_p_within_dataset_metric
UCI,mcc,1e-05,0.0,0.0,0.0,1.0,10,1.0
UCI,auroc,1e-05,0.0,0.0,0.0,1.0,10,1.0
UCI,f1,1e-05,0.0,0.0,0.0,1.0,10,1.0
UCI,balanced_accuracy,1e-05,0.0,0.0,0.0,1.0,10,1.0
UCI,average_precision,1e-05,-3.213161107897822e-05,-9.639483323693465e-05,0.0,1.0,10,1.0
UCI,brier,1e-05,0.0,0.0,0.0,1.0,10,1.0
UCI,mcc,0.0001,0.0,0.0,0.0,1.0,10,1.0
UCI,auroc,0.0001,0.0,0.0,0.0,1.0,10,1.0
UCI,f1,0.0001,0.0,0.0,0.0,1.0,10,1.0
UCI,balanced_accuracy,0.0001,0.0,0.0,0.0,1.0,10,1.0
UCI,average_precision,0.0001,-3.213161107897822e-05,-9.639483323693465e-05,0.0,1.0,10,1.0
UCI,brier,0.0001,-1.4901161193847657e-09,-1.6391277313232423e-08,8.940696716308593e-09,1.0,10,1.0
UCI,mcc,0.001,0.0,0.0,0.0,1.0,10,1.0
UCI,auroc,0.001,0.0,0.0,0.0,1.0,10,1.0
UCI,f1,0.001,0.0,0.0,0.0,1.0,10,1.0
UCI,balanced_accuracy,0.001,0.0,0.0,0.0,1.0,10,1.0
UCI,average_precision,0.001,0.0,0.0,0.0,1.0,10,1.0
UCI,brier,0.001,1.4901161193847656e-08,-1.7881393432617187e-08,4.470348358154297e-08,0.46875,10,1.0
UCI,mcc,0.01,-0.008540283691187148,-0.025620851073561445,0.0,1.0,10,1.0
UCI,auroc,0.01,0.0001449100350199295,0.0,0.0004347301050597885,1.0,10,1.0
UCI,f1,0.01,0.00021008403361344463,0.0,0.0006302521008403339,1.0,10,1.0
UCI,balanced_accuracy,0.01,-0.0038461538461538438,-0.01153846153846153,0.0,1.0,10,1.0
UCI,average_precision,0.01,0.000205711756463145,-9.639483323693465e-05,0.0007135301026264029,1.0,10,1.0
UCI,brier,0.01,-4.28229570388794e-05,-0.00012883841991424562,3.1296163797378484e-07,0.6875,10,1.0
UCI,mcc,0.1,0.00236530950961539,-0.02454301259153967,0.03056110263836407,0.75,10,1.0
UCI,auroc,0.1,0.0013041903151793433,-0.0005434126313246912,0.0043110735418427915,0.75,10,1.0
UCI,f1,0.1,-0.011056680897570647,-0.03640745720775852,0.0030273304814331325,1.0,10,1.0
UCI,balanced_accuracy,0.1,0.002197802197802212,-0.010989010989010973,0.01703296703296705,0.75,10,1.0
UCI,average_precision,0.1,0.0025743527235755127,-0.0005734144366542404,0.008075361479544652,0.875,10,1.0
UCI,brier,0.1,-0.0018464013934135436,-0.004369755759835242,1.4843046665191627e-06,1.0,10,1.0
UCI,mcc,1.0,-0.01757323612205014,-0.04068881492628794,0.0,0.25,10,1.0
UCI,auroc,1.0,-0.0005313367950730453,-0.0015215553677092152,2.4151672503347487e-05,0.3125,10,1.0
UCI,f1,1.0,-0.006201252886091668,-0.01869705120541939,0.00042016806722688926,0.5,10,1.0
UCI,balanced_accuracy,1.0,-0.008241758241758245,-0.019230769230769253,0.0,0.25,10,1.0
UCI,average_precision,1.0,0.0021451257095404406,-0.0007307047070619688,0.0073668074771518575,0.296875,10,1.0
UCI,brier,1.0,-0.002053907513618469,-0.0051127939671278,5.763359367847442e-05,0.431640625,10,1.0
UCI,mcc,10.0,0.00036727712693023493,-0.03404566095370589,0.042619653587995535,0.8125,10,1.0
UCI,auroc,10.0,-0.0038401159280280206,-0.011749788672865602,0.0012317352976693563,0.734375,10,1.0
UCI,f1,10.0,-0.019849204341552667,-0.0491207791622109,0.0027396708018429168,0.296875,10,1.0
UCI,balanced_accuracy,10.0,-0.003296703296703307,-0.014285714285714313,0.007692307692307698,0.6875,10,1.0
UCI,average_precision,10.0,-0.0026926243468921363,-0.01593032275498455,0.007620967974903609,0.625,10,1.0
UCI,brier,10.0,-0.000674360990524292,-0.00456060566008091,0.0024887239187955843,0.845703125,10,1.0
UCI,mcc,100.0,-0.010517741411005883,-0.03782411734882917,0.017478558837942207,0.42578125,10,1.0
UCI,auroc,100.0,-0.004661272793140925,-0.010071247433884812,-0.000682133800265633,0.07421875,10,0.66796875
UCI,f1,100.0,-0.006793403050430169,-0.019755897204001234,0.005341154343253225,0.42578125,10,1.0
UCI,balanced_accuracy,100.0,-0.0043956043956044025,-0.012637362637362648,0.0043956043956044025,0.40625,10,1.0
UCI,average_precision,100.0,-0.006068171754536255,-0.014271736182515184,-0.0009300108614792806,0.064453125,10,0.580078125
UCI,brier,100.0,-0.0007547125220298767,-0.0049894447252154354,0.0027823284640908223,0.6953125,10,1.0
