dataset,seed,lambda_el,threshold,precision,recall,specificity,f1,balanced_accuracy,mcc,auroc,average_precision,brier,ece,tn,fp,fn,tp,validation_mcc,best_epoch,training_seconds,inference_ms_per_sample,checkpoint_sha256,preprocessing,bce_loss,physics_loss_raw,physics_loss_weighted,bce_grad_norm,physics_grad_norm_raw,physics_grad_norm_weighted,weighted_to_bce_grad_ratio,gradient_cosine
SGCC,131,1e-05,0.705,0.3021148036253776,0.1841620626151013,0.9602614828831928,0.2288329519450801,0.572211772749147,0.1816960793526366,0.6634507212037285,0.1964300429723394,0.21869607269763947,0.3745084534638929,5582,231,443,100,0.20299629699141536,5,17.404363699999976,0.006298553964780901,09d9b5e94d1a5ae9f2a3dff58abae0670ba8c0108df2ff5ed7ac800ed91bf8a1,"{""mean"": 1.65463387966156, ""p995"": 4.932785511016846, ""std"": 1.1015292406082153}",1.2113293409347534,0.00020589379710145295,2.0589379710145298e-09,0.03503572195768356,0.0006042480817995965,6.042480817995966e-09,1.7246628527575725e-07,0.14208677411079407
SGCC,149,1e-05,0.625,0.24034334763948498,0.30939226519337015,0.9086530190951316,0.27053140096618356,0.6090226421442508,0.19481172753347287,0.6553558908891262,0.2160043759285783,0.22825577855110168,0.38274635521775907,5282,531,375,168,0.187518391171696,5,29.248859382999854,0.00940443171805635,786a3c8083593f9d8c3942f7e686cd790673c503058671abde8c66fcff5e02a1,"{""mean"": 1.6593199968338013, ""p995"": 4.9356303215026855, ""std"": 1.1055059432983398}",1.1857167482376099,0.0003531634574756026,3.5316345747560267e-09,0.046287260949611664,0.0007547165732830763,7.547165732830763e-09,1.6305060135328837e-07,-0.5024266839027405
SGCC,173,1e-05,0.82,0.36585365853658536,0.08287292817679558,0.986581799415104,0.13513513513513514,0.5347273637959498,0.14092912951820985,0.659523852519548,0.193068299014467,0.22234754264354706,0.37937073709174773,5735,78,498,45,0.19860573841358597,2,24.105855608999946,0.01040428272499572,412d7d4e687e347d0a6ad28dca310ee7973fc9c50e551ad8301f792e9e65ba50,"{""mean"": 1.6609737873077393, ""p995"": 4.925848007202148, ""std"": 1.1032264232635498}",1.15974760055542,0.0003908504149876535,3.908504149876535e-09,0.022000707685947418,0.0005572826485149562,5.5728264851495626e-09,2.533021466718142e-07,-0.5516377091407776
SGCC,11,0.0001,0.8549999999999999,0.37037037037037035,0.09208103130755065,0.985377601926716,0.14749262536873156,0.5387293166171333,0.15016645239365717,0.6518213922626589,0.18765769059164347,0.2277568280696869,0.38012272188917057,5728,85,493,50,0.21012892144951467,5,29.210054078999974,0.009355085273752534,8bab5174c97b3cae5e242118e0c7ab56a1089edac856bcba9a43fa4634ba9bce,"{""mean"": 1.659198522567749, ""p995"": 4.9457292556762695, ""std"": 1.1075389385223389}",1.1396480798721313,0.00030730507569387555,3.0730507569387555e-08,0.03780379891395569,0.0006758484523743391,6.758484523743391e-08,1.7877791962459155e-06,0.2566242814064026
SGCC,23,0.0001,0.6549999999999999,0.24489795918367346,0.2430939226519337,0.9299845174608636,0.24399260628465805,0.5865392200563987,0.17365973509401825,0.6802377284165579,0.19339708960857194,0.20840655267238617,0.3558165472331401,5406,407,411,132,0.19120499240483319,12,39.836377516000084,0.009578848804274908,cea3454c08b10a868168588bc876af54a132e632c849bc57d494ba5b947f8972,"{""mean"": 1.661300778388977, ""p995"": 4.9457292556762695, ""std"": 1.1057639122009277}",1.1504080295562744,0.0010412278352305293,1.0412278352305294e-07,0.20589274168014526,0.0025574674364179373,2.5574674364179373e-07,1.2421357914554207e-06,0.2554318606853485
SGCC,37,0.0001,0.57,0.19935948759007205,0.4585635359116022,0.8279717873731292,0.2779017857142857,0.6432676616423657,0.20156452358441793,0.7061091241799751,0.2340330893042319,0.2147316038608551,0.36637079218241914,4813,1000,294,249,0.20466424726068516,13,50.286515033999876,0.0066295051919207145,5f7904b6e6739c2d5900d73ef43db604ece866eae5ff7a1ba75527e8d374650b,"{""mean"": 1.6570286750793457, ""p995"": 4.910050392150879, ""std"": 1.1032549142837524}",1.1433851718902588,0.0010613501071929932,1.0613501071929932e-07,0.09362476319074631,0.002421435434371233,2.4214354343712333e-07,2.586319422178857e-06,0.08993200212717056
SGCC,53,0.0001,0.7799999999999999,0.3917525773195876,0.13996316758747698,0.9797006709100292,0.2062415196743555,0.5598319192487531,0.19444702103350214,0.6852010433210125,0.21313311961619902,0.21350252628326416,0.3648862876724792,5695,118,467,76,0.22724355329705387,8,19.407136114999957,0.011944534455634398,ec48ab61f80fd20bbc93b8d13d46afe636accf43c3f7d538edaf7ac8bd66e4e2,"{""mean"": 1.655530333518982, ""p995"": 4.9090375900268555, ""std"": 1.1081187725067139}",1.1022285223007202,0.000554206722881645,5.54206722881645e-08,0.08678732067346573,0.0010883441427722573,1.0883441427722574e-07,1.2540358825768046e-06,-0.15156404674053192
SGCC,71,0.0001,0.72,0.3231707317073171,0.19521178637200737,0.9618097367968347,0.24339839265212398,0.578510761584421,0.19839728215711488,0.691642755378733,0.2171370887749881,0.21895313262939453,0.3734161577617095,5591,222,437,106,0.19872931704958216,6,16.210544733999996,0.009727417558223402,60e351f6b707b29a2c65392ddf15ca325955de0d44b8e44ba72214072220f644,"{""mean"": 1.6630699634552002, ""p995"": 4.93992280960083, ""std"": 1.106569528579712}",1.2431045770645142,0.00038032408338040113,3.803240833804011e-08,0.23905669152736664,0.0008722632192075253,8.722632192075253e-08,3.6487714007690543e-07,-0.3574136793613434
SGCC,89,0.0001,0.7799999999999999,0.30033003300330036,0.16758747697974216,0.9635300189231034,0.21513002364066194,0.5655587479514228,0.17201014878195345,0.6715512541110149,0.19362391101760537,0.22890880703926086,0.383713233885411,5601,212,452,91,0.18624004233930413,6,37.652677837000056,0.009361509125229721,f018e58b7e8e36b9e53f63229eee303dad1235aa832663f591cde8eb10d1f4c6,"{""mean"": 1.6562169790267944, ""p995"": 4.927568435668945, ""std"": 1.1022279262542725}",1.2317266464233398,0.00042748579289764166,4.274857928976417e-08,0.06983496993780136,0.0010475978488102555,1.0475978488102556e-07,1.5001049613729346e-06,-0.4488275349140167
SGCC,107,0.0001,0.6399999999999999,0.27951807228915665,0.2140221402214022,0.9485724114207086,0.24242424242424243,0.5812972758210554,0.18381854376024861,0.6617443960817317,0.20694516939323765,0.20980314910411835,0.36121690218894265,5515,299,426,116,0.23087145257719988,6,38.096946462000005,0.009411884990577294,f60dcd6d88cc162f60a58410a79da31ece4471c7f1c97a5f9cafd6c4ff0f5c03,"{""mean"": 1.6612826585769653, ""p995"": 4.9096879959106445, ""std"": 1.1027220487594604}",1.1790871620178223,0.00041689936188049614,4.168993618804962e-08,0.08123492449522018,0.0010043965885415673,1.0043965885415674e-07,1.2364098259248896e-06,-0.45869821310043335
