model,seed,attack,mcc,auroc,attack_recall
CNN-TCN,89,reversal,-0.1675169784288687,0.1886446886446886,0.5
CNN-TCN,89,scaled_reduction,0.19970344726057931,0.7550096961861668,1.0
CNN-TCN,107,daily_flattening,-0.16772557387550693,0.2403846153846154,0.0
CNN-TCN,107,noise,0.11561853230868585,0.6708791208791208,0.4
CNN-TCN,107,partial_zeroing,0.4810376017052275,0.7752247752247753,1.0
CNN-TCN,107,peak_clipping,0.07253139007264661,0.5759534583063995,0.35294117647058826
CNN-TCN,107,reversal,-0.06259150810171366,0.47596153846153844,0.1875
CNN-TCN,107,scaled_reduction,0.3364144347892721,0.6772700983227299,0.6842105263157895
CNN-TCN,131,daily_flattening,-0.1310356045902398,0.3728937728937729,0.0
CNN-TCN,131,noise,0.2287237822097536,0.6323676323676324,0.36363636363636365
CNN-TCN,131,partial_zeroing,-0.07214791053658226,0.7831116252168883,0.05263157894736842
CNN-TCN,131,peak_clipping,0.07451755367231847,0.6205559146735617,0.17647058823529413
CNN-TCN,131,reversal,-0.01898101898101898,0.4055944055944056,0.09090909090909091
CNN-TCN,131,scaled_reduction,-0.06697668948863124,0.6953601953601953,0.05555555555555555
CNN-TCN,149,daily_flattening,0.05714323040967433,0.43269230769230765,0.1875
CNN-TCN,149,noise,-0.15643009616387413,0.39499389499389503,0.0
CNN-TCN,149,partial_zeroing,0.045024366576723145,0.8271728271728271,0.18181818181818182
CNN-TCN,149,peak_clipping,0.028668672600101166,0.64893001735107,0.15789473684210525
CNN-TCN,149,reversal,0.021295885499998,0.4835164835164835,0.15384615384615385
CNN-TCN,149,scaled_reduction,0.08006407690254357,0.6962323390894819,0.21428571428571427
CNN-TCN,173,daily_flattening,0.12598815766974242,0.5486052409129332,0.46153846153846156
CNN-TCN,173,noise,0.0,0.5188383045525903,0.2857142857142857
CNN-TCN,173,partial_zeroing,0.47493569014597764,0.9624542124542124,1.0
CNN-TCN,173,peak_clipping,0.21303582393400283,0.6428571428571429,0.5555555555555556
CNN-TCN,173,reversal,-0.10981515925511534,0.38147566718995285,0.14285714285714285
CNN-TCN,173,scaled_reduction,0.1759328876372492,0.6752747252747252,0.5
Transformer,11,daily_flattening,-0.029302988659510996,0.5428571428571428,0.2
Transformer,11,noise,0.0867459728181513,0.5204795204795205,0.36363636363636365
Transformer,11,partial_zeroing,0.6085261822552592,1.0,1.0
Transformer,11,peak_clipping,0.01879677310747777,0.5349913244650086,0.2631578947368421
Transformer,11,reversal,-0.1892512505005867,0.37454212454212454,0.0
Transformer,11,scaled_reduction,0.34055103198605946,0.7832722832722833,0.6666666666666666
Transformer,23,daily_flattening,-0.0784348521245653,0.33992673992673994,0.06666666666666667
Transformer,23,noise,-0.05572409401803959,0.40476190476190477,0.08333333333333333
Transformer,23,partial_zeroing,0.7054756215026584,0.9829059829059829,1.0
Transformer,23,peak_clipping,0.19327783587126707,0.5525902668759811,0.35714285714285715
Transformer,23,reversal,-0.04818120558297158,0.48131868131868133,0.1
